,Symbol,Date,Expiry,Option.Type,Strike.Price,LTP,Settle.Price,Open.Int,Change.in.OI,Underlying.Value,implied_volatility
1,NIFTY,29-Jan-19,28-Feb-19,CE,10300,500.9,493.25,85800,1425,10652.2,0.1847
2,NIFTY,29-Jan-19,28-Feb-19,CE,10350,435,435,75,75,10652.2,0.1627
3,NIFTY,29-Jan-19,28-Feb-19,CE,10400,424.5,402,98700,14550,10652.2,0.1689
4,NIFTY,29-Jan-19,28-Feb-19,CE,10450,348.8,348.8,300,300,10652.2,0.1524
5,NIFTY,29-Jan-19,28-Feb-19,CE,10500,355,340.6,267900,23400,10652.2,1.00E-04
6,NIFTY,29-Jan-19,28-Feb-19,CE,10550,319.45,319.45,225,225,10652.2,0.1809
7,NIFTY,29-Jan-19,28-Feb-19,CE,10600,294,275.35,165450,70050,10652.2,0.1696
8,NIFTY,29-Jan-19,28-Feb-19,CE,10650,261,249.45,16125,7425,10652.2,0.1738
9,NIFTY,29-Jan-19,28-Feb-19,CE,10700,233,220.2,300075,84225,10652.2,0.1682
10,NIFTY,29-Jan-19,28-Feb-19,CE,10750,203.95,192.55,22275,7350,10652.2,0.1638
11,NIFTY,29-Jan-19,28-Feb-19,CE,10800,175,164.45,762375,314625,10652.2,0.1591
12,NIFTY,29-Jan-19,28-Feb-19,CE,10850,154.95,144.8,34350,9150,10652.2,1.00E-04
13,NIFTY,29-Jan-19,28-Feb-19,CE,10900,129.65,122.6,673875,106950,10652.2,0.1574
14,NIFTY,29-Jan-19,28-Feb-19,CE,10950,112,104.5,32625,7200,10652.2,1.00E-04
15,NIFTY,29-Jan-19,28-Feb-19,CE,11000,92.3,86.6,1631775,170850,10652.2,0.1576
16,NIFTY,29-Jan-19,28-Feb-19,CE,11050,75.5,73.2,8700,1200,10652.2,0.1582
17,NIFTY,29-Jan-19,28-Feb-19,CE,11100,63.3,60.6,527100,53775,10652.2,0.159
18,NIFTY,29-Jan-19,28-Feb-19,CE,11150,53.6,49.6,7800,2175,10652.2,0.1545
19,NIFTY,29-Jan-19,28-Feb-19,CE,11200,41.5,38.6,1208550,304200,10652.2,0.1501
20,NIFTY,29-Jan-19,28-Feb-19,CE,11250,34.15,29.8,3900,-375,10652.2,0.1487
21,NIFTY,29-Jan-19,28-Feb-19,CE,11300,27.5,26.15,454425,46125,10652.2,1.00E-04
22,NIFTY,29-Jan-19,28-Feb-19,CE,11400,19.6,18.35,1033725,54075,10652.2,0.1522
23,NIFTY,29-Jan-19,28-Feb-19,CE,11500,13.35,12.7,848475,85500,10652.2,0.1552
24,NIFTY,29-Jan-19,28-Feb-19,CE,11600,8.35,8.65,330900,-3825,10652.2,0.1631
25,NIFTY,29-Jan-19,28-Feb-19,CE,11700,6.45,6.3,154350,1875,10652.2,0.1641
26,NIFTY,29-Jan-19,28-Feb-19,CE,11800,4.6,4.85,101625,-12750,10652.2,0.1696
27,NIFTY,29-Jan-19,28-Feb-19,CE,11950,2.1,2.1,900,0,10652.2,0.1651
28,NIFTY,29-Jan-19,28-Feb-19,CE,12000,4.15,4.15,236925,13575,10652.2,0.191
29,NIFTY,29-Jan-19,28-Feb-19,CE,12100,3,3,2400,900,10652.2,0.1944
30,NIFTY,29-Jan-19,28-Feb-19,CE,12200,1.35,1.35,25425,3525,10652.2,0.1808
31,NIFTY,29-Jan-19,28-Feb-19,CE,12450,2.2,2.2,1875,0,10652.2,0.2189
